Ano,Encabezado,Cespe,Especie,Cintiauto,Cintientrega,Epocainicio,EpocaFin
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,18,8,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,18,10,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,18,14,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,18,18,01/12/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,37,ORIX DEL CABO,10,4,25/09/2014,24/09/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,37,ORIX DEL CABO,9,3,09/09/2015,28/05/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,37,ORIX DEL CABO,4,3,01/09/2016,27/05/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,37,ORIX DEL CABO,10,4,01/09/2017,27/05/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,37,ORIX DEL CABO,4,3,01/09/2018,27/05/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,37,ORIX DEL CABO,0,0,01/09/2019,27/05/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,37,ORIX DEL CABO,0,0,01/09/2020,27/05/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,37,ORIX DEL CABO,0,0,01/09/2021,27/05/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,37,ORIX DEL CABO,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,8,8,25/09/2014,06/03/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,8,6,09/09/2015,05/03/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,15,5,01/09/2016,11/03/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,11,5,01/09/2017,11/03/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,58,25,01/09/2018,11/03/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,15,9,01/09/2019,11/03/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,6,5,01/09/2020,11/03/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,6,5,01/09/2021,11/03/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,38,PALOMA ALAS BLANCAS,9,5,01/09/2022,11/03/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,101,40,25/09/2014,06/03/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,70,49,09/09/2015,05/03/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,124,44,01/09/2016,11/03/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,102,54,01/09/2017,11/03/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,92,44,01/09/2018,11/03/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,92,40,01/09/2019,11/03/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,94,37,01/09/2020,11/03/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,94,37,01/09/2021,11/03/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,39,PALOMA HUILOTA,70,38,01/09/2022,11/03/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,2658,718,25/09/2014,06/03/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,2376,752,09/09/2015,05/03/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,2441,679,01/09/2016,11/03/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,2519,736,01/09/2017,11/03/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,3227,1078,01/09/2018,11/03/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,3308,638,01/09/2019,11/03/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,3216,1035,01/09/2020,11/03/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,3216,1297,01/09/2021,11/03/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,40,PALOMAS ALAS BLANCAS Y HUILOTA,2814,986,01/09/2022,11/03/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,495,324,30/10/2014,28/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,608,345,28/10/2015,26/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,758,350,27/10/2016,11/03/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,519,286,27/10/2017,11/03/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,542,281,27/10/2018,11/03/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,509,200,27/10/2019,11/03/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,630,243,27/10/2020,11/03/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,630,312,27/10/2021,11/03/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,41,PATOS Y CERCETAS,436,246,27/10/2022,11/03/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,42,PUMA,9,7,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,42,PUMA,5,4,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,42,PUMA,16,13,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,42,PUMA,8,5,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,42,PUMA,2,1,01/12/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,42,PUMA,0,0,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,42,PUMA,0,0,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,42,PUMA,0,0,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,42,PUMA,0,0,01/12/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,43,VENADO BURA,2457,1770,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,43,VENADO BURA,2566,1938,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,43,VENADO BURA,2647,2001,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,43,VENADO BURA,2755,2036,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,43,VENADO BURA,2822,1971,01/12/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,43,VENADO BURA,2742,1835,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,43,VENADO BURA,3429,2617,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,43,VENADO BURA,3486,2703,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,43,VENADO BURA,3755,2993,01/12/2022,04/02/2023
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,44,VENADO BURA HEMBRA -CONF.,0,0,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,44,VENADO BURA HEMBRA - CONFINAMIENTO,70,0,25/11/2016,12/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,44,VENADO BURA HEMBRA - CONFINAMIENTO,0,0,25/11/2017,12/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,44,VENADO BURA HEMBRA - CONFINAMIENTO,0,0,25/11/2018,12/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,44,VENADO BURA HEMBRA - CONFINAMIENTO,0,0,25/11/2019,12/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,44,VENADO BURA HEMBRA - CONFINAMIENTO,0,0,25/11/2020,12/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,44,VENADO BURA HEMBRA - CONFINAMIENTO,0,0,25/11/2021,12/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,44,VENADO BURA HEMBRA - CONFINAMIENTO,0,0,25/11/2022,12/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,377,290,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,388,260,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,459,319,25/11/2016,12/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,584,369,25/11/2017,12/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,636,382,25/11/2018,12/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,671,411,25/11/2019,12/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,0,0,25/11/2020,12/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,0,0,25/11/2021,12/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,45,VENADO BURA-CONFINAMIENTO,0,0,25/11/2022,12/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,61,41,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,79,34,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,64,43,25/11/2016,12/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,65,33,25/11/2017,12/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,87,45,25/11/2018,12/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,102,42,25/11/2019,12/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,0,0,25/11/2020,12/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,0,0,25/11/2021,12/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,46,VENADO COLA BCA -CONFINAMIENTO,0,0,25/11/2022,12/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,4850,3047,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,5116,3152,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,5271,3208,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,5693,3409,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,5876,3298,01/12/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,5734,2996,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,5768,3375,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,5795,3394,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,47,VENADO COLA BLANCA,5707,3769,01/12/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,48,ZORRA GRIS,2,2,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,48,ZORRA GRIS,2,1,01/12/2015,04/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,48,ZORRA GRIS,6,6,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,48,ZORRA GRIS,7,3,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,48,ZORRA GRIS,5,2,01/12/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,48,ZORRA GRIS,4,0,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,48,ZORRA GRIS,0,0,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,48,ZORRA GRIS,0,0,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,48,ZORRA GRIS,11,3,01/12/2022,04/02/2023
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,50,MAPACHE,2,0,01/12/2017,04/02/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,50,MAPACHE,2,0,01/12/2018,04/02/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,50,MAPACHE,2,0,01/12/2019,04/02/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,50,MAPACHE,0,0,01/12/2020,04/02/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,50,MAPACHE,0,0,01/12/2021,04/02/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,50,MAPACHE,0,0,01/12/2022,04/02/2023
