Ano,Encabezado,Cespe,Especie,Cintiauto,Cintientrega,Epocainicio,EpocaFin
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,49,10,01/09/2016,27/05/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,59,4,01/09/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,15,0,01/09/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,0,0,01/09/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,0,0,01/09/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,0,0,01/09/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,0,0,01/09/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,7,ANTILOPE SABLE,5,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,7,ANTILOPE SABLE,5,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,7,ANTILOPE SABLE,0,0,09/09/2017,28/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,7,ANTILOPE SABLE,8,0,09/09/2018,28/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,7,ANTILOPE SABLE,0,0,09/09/2019,28/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,7,ANTILOPE SABLE,0,0,09/09/2020,28/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,7,ANTILOPE SABLE,0,0,09/09/2021,28/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,7,ANTILOPE SABLE,0,0,09/09/2022,28/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,18,4,25/09/2014,24/09/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,18,5,09/09/2015,28/05/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,18,6,01/09/2016,27/05/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,18,12,01/09/2017,27/05/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,0,0,01/09/2018,27/05/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,0,0,01/09/2019,27/05/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,0,0,01/09/2020,27/05/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,0,0,01/09/2021,27/05/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,8,BISONTE AMERICANO,13,8,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,9,BORREGO BERBERISCO,30,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,9,BORREGO BERBERISCO,30,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,9,BORREGO BERBERISCO,34,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,9,BORREGO BERBERISCO,30,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,9,BORREGO BERBERISCO,0,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,9,BORREGO BERBERISCO,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,9,BORREGO BERBERISCO,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,9,BORREGO BERBERISCO,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,64,62,06/11/2014,20/03/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,92,85,04/11/2015,19/03/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,85,82,01/12/2016,25/03/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,107,107,01/12/2017,25/03/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,106,106,01/12/2018,25/03/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,124,124,01/12/2019,25/03/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,100,97,01/12/2020,25/03/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,257,257,01/12/2021,25/03/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,10,BORREGO CIMARRON,194,194,01/12/2022,25/03/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,138,94,06/11/2014,20/03/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,148,91,04/11/2015,19/03/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,95,95,04/11/2016,19/03/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,115,115,04/11/2017,19/03/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,100,100,04/11/2018,19/03/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,118,118,04/11/2019,19/03/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,86,86,04/11/2020,19/03/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,0,0,04/11/2021,19/03/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,11,BORREGO CIMARRON-CONFINAMIENTO,0,0,04/11/2022,19/03/2023
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,12,BORREGO DE BERBERIA,0,0,09/09/2016,28/05/2017
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,13,BORREGO MUFLON,18,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,13,BORREGO MUFLON,18,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,13,BORREGO MUFLON,18,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,13,BORREGO MUFLON,15,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,13,BORREGO MUFLON,0,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,13,BORREGO MUFLON,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,13,BORREGO MUFLON,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,13,BORREGO MUFLON,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,14,BRANTA NEGRA,110,50,30/10/2014,28/02/2015
